City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
Bontang,80,ID,1519943368,100,0.12,117.47,77.77,4.88
Las Choapas,0,MX,1519943368,66,17.91,-94.09,89.88,5.99
Aswan,0,EG,1519941600,22,24.09,32.9,68.0,6.93
Grushevskaya,76,RU,1519943370,90,47.44,39.97,29.31,8.01
Chhatarpur,76,IN,1519943371,52,24.92,79.59,69.4,2.64
Cap Malheureux,40,MU,1519941600,83,-19.98,57.61,80.6,11.41
Dembi Dolo,0,ET,1519943373,70,8.53,34.8,62.52,0.29
Pandan,48,PH,1519943373,100,11.72,122.09,78.81,11.7
Manicore,20,BR,1519938000,56,-5.81,-61.3,93.2,2.24
Manavalakurichi,20,IN,1519939800,83,8.13,77.3,82.4,3.36
Norwich,80,GB,1519941360,68,52.63,1.29,30.2,25.28
Joplin,1,US,1519942500,30,37.08,-94.51,55.45,16.11
Srednekolymsk,76,RU,1519943310,57,67.46,153.71,-11.83,7.34
Coari,8,BR,1519943013,51,-4.09,-63.14,91.41,4.99
Okhotsk,0,RU,1519942923,100,59.36,143.24,-5.53,2.98
Hambantota,0,LK,1519942889,100,6.12,81.12,79.62,12.37
Churapcha,48,RU,1519943379,66,62.0,132.43,-23.08,2.75
Afsin,8,TR,1519943381,78,38.25,36.91,15.13,2.53
Misratah,12,LY,1519943381,55,32.38,15.09,68.73,14.05
Kefamenanu,36,ID,1519943382,95,-9.45,124.48,65.98,1.19
Lazaro Cardenas,75,MX,1519940400,17,28.39,-105.62,62.6,6.93
Saint-Francois,75,GP,1519941600,65,16.25,-61.27,77.0,10.29
Ust-Omchug,20,RU,1519943386,62,61.13,149.63,-23.35,1.74
Kouroussa,8,GN,1519943387,66,10.65,-9.88,79.93,5.21
Aranos,44,NA,1519943389,62,-24.14,19.11,71.52,10.02
Talara,0,PE,1519938000,57,-4.58,-81.27,80.6,13.87
Cortes,80,PH,1519942999,100,9.28,126.19,73.27,2.08
Itarema,44,BR,1519943391,94,-2.92,-39.92,77.1,5.88
Illintsi,64,UA,1519943391,84,49.11,29.2,8.97,13.38
Port Hardy,40,CA,1519941600,65,50.7,-127.42,46.4,18.34
Ilhabela,20,BR,1519943392,100,-23.78,-45.36,78.94,10.47
Grand-Santi,32,GF,1519942876,78,4.27,-54.38,81.82,2.42
Morros,75,BR,1519942260,94,-2.87,-44.04,77.0,3.36
Salinas,0,BR,1519943394,39,-16.17,-42.29,83.67,6.78
Roros,0,NO,1519941000,75,62.57,11.38,-20.21,1.12
Aracuai,20,BR,1519943396,49,-16.85,-42.07,85.38,5.66
Velizh,88,RU,1519943398,80,55.61,31.2,10.32,13.38
Haicheng,24,CN,1519943398,61,40.85,122.74,4.33,5.99
Smithers,90,CA,1519941600,86,54.78,-127.17,26.6,9.17
Nhulunbuy,88,AU,1519941600,88,-12.18,136.78,82.4,5.82
Matata,92,NZ,1519943401,100,-37.89,176.76,70.14,16.49
North Bend,90,US,1519941360,86,43.41,-124.22,38.16,11.41
Zhangjiakou,0,CN,1519942902,63,40.77,114.88,22.2,6.33
Maumere,0,ID,1519942849,100,-8.63,122.22,80.74,4.76
Khilok,0,RU,1519943404,66,51.36,110.46,-11.36,2.62
Noumea,75,NC,1519941600,58,-22.28,166.46,86.0,2.24
Nabire,56,ID,1519943000,96,-3.36,135.5,68.23,1.97
Nirasaki,0,JP,1519943408,38,35.72,138.41,34.41,9.66
Atbasar,20,KZ,1519943409,67,51.81,68.36,-9.47,7.87
Zakamensk,88,RU,1519943409,71,50.38,103.29,8.85,2.51
Padilla,92,BO,1519943410,95,-19.31,-64.3,60.06,2.73
Salaya,0,IN,1519943410,89,22.31,69.6,61.23,3.74
Victoria,12,SC,1519939620,83,-4.62,55.45,82.4,9.17
Kortkeros,40,RU,1519941600,85,61.81,51.56,12.2,2.24
Najran,0,SA,1519938000,68,17.54,44.22,64.4,9.17
Bay Roberts,75,CA,1519941600,100,47.58,-53.28,33.8,6.93
Khudat,92,AZ,1519943414,100,41.63,48.68,34.95,2.73
Cabedelo,75,BR,1519941600,88,-6.97,-34.84,77.0,8.77
Punta Alta,90,AR,1519941600,78,-27.46,-55.82,80.11,4.7
Tyup,76,KG,1519943419,100,42.73,78.36,26.0,3.18
Port-Gentil,75,GA,1519938000,88,-0.72,8.78,78.8,9.17
Kungurtug,36,RU,1519943421,74,50.6,97.53,17.94,9.33
Patiya,0,BD,1519943421,99,22.3,91.98,72.44,1.95
Bilibino,68,RU,1519943409,69,68.06,166.44,8.27,3.29
Dongsheng,64,CN,1519943423,97,29.72,112.52,47.42,9.78
Mubi,0,NG,1519943423,56,10.27,13.26,67.35,3.29
Fort Nelson,90,CA,1519941600,77,58.81,-122.69,5.0,12.75
Panacan,75,PH,1519941600,88,7.15,125.66,75.2,3.29
Kichera,0,RU,1519943425,32,55.93,110.1,-23.87,2.73
Zaoyang,0,CN,1519943426,93,32.12,112.76,38.6,3.51
Seoul,1,KR,1519941360,73,37.57,126.98,21.22,2.64
Hongjiang,88,CN,1519943426,100,27.21,109.83,53.13,4.18
Jizan,40,SA,1519941600,65,16.89,42.56,82.4,5.82
Kargat,64,RU,1519943429,84,55.19,80.28,-2.36,11.45
Sobolevo,88,RU,1519943431,81,54.43,31.9,11.69,14.7
Challapata,56,BO,1519943432,79,-18.9,-66.78,44.31,3.18
Diapaga,0,BF,1519943433,29,12.07,1.79,70.32,5.97
Verkhnevilyuysk,12,RU,1519943434,42,63.45,120.31,-27.24,2.73
Hays,1,US,1519941360,17,38.88,-99.33,54.21,5.82
Xining,0,CN,1519943253,63,36.62,101.77,17.88,3.76
Nampula,75,MZ,1519941600,94,-15.12,39.26,73.4,2.39
Lubao,36,CD,1519943030,89,-5.39,25.75,71.07,5.21
Seddon,68,NZ,1519943437,92,-41.67,174.07,65.82,2.39
Banikoara,0,BJ,1519943438,59,11.3,2.44,68.16,3.29
Meulaboh,20,ID,1519943438,100,4.14,96.13,78.74,3.51
Kasongo-Lunda,64,CD,1519943439,88,-6.48,16.82,68.97,2.95
Katsuura,20,JP,1519939200,60,33.93,134.5,39.2,8.05
Bumba,56,CD,1519943440,94,2.18,22.47,70.82,3.18
Coaticook,90,CA,1519941600,63,45.13,-71.8,32.63,4.7
Pisco,0,PE,1519938000,69,-13.71,-76.2,77.0,21.92
Ulladulla,75,AU,1519938000,82,-35.36,150.48,64.4,5.82
Marathon,40,CA,1519941600,82,48.72,-86.38,32.0,4.7
Primorka,0,RU,1519943444,72,47.28,39.05,16.64,7.09
Oshakati,100,NA,1519943445,43,-17.78,15.7,78.42,12.91
Benguela,8,AO,1519943447,100,-12.58,13.4,73.52,5.08
Nosy Varika,56,MG,1519943448,100,-20.58,48.53,77.3,3.96
Lichtenfels,0,DE,1519943449,73,50.15,11.06,11.28,8.77
Deputatskiy,80,RU,1519943451,48,69.3,139.9,-17.57,3.96
Cintalapa,8,MX,1519943452,44,16.7,-93.73,79.77,5.19
Bathsheba,20,BB,1519941600,83,13.22,-59.52,77.0,5.82
Camapua,32,BR,1519943453,91,-19.53,-54.04,74.64,3.18
Puerto Quijarro,20,BO,1519941600,88,-19.0,-57.72,78.8,2.28
Velingrad,20,BG,1519941600,73,42.03,23.99,23.0,1.95
Waingapu,36,ID,1519942993,99,-9.65,120.26,70.3,1.41
